Colors,,,,,,,,,,Color Combinations
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
White, 119, 522, 0.63, 2422, 4.64, 0.49, 38, 246,,Jeskai, 8, 87, 0.10, 533, 6.13, 0.62, 21, 53
Blue, 120, 530, 0.64, 2485, 4.69, 0.50, 41, 258,,5 Color, 14, 81, 0.10, 332, 4.10, 0.44, 2, 33
Black, 122, 415, 0.50, 1810, 4.36, 0.47, 17, 188,,WUBG, 22, 70, 0.08, 300, 4.29, 0.45, 3, 31
Red, 101, 556, 0.67, 2716, 4.88, 0.52, 41, 288,,WURG, 8, 70, 0.08, 280, 4.00, 0.43, 2, 27
Green, 110, 471, 0.57, 2082, 4.42, 0.47, 16, 222,,Mono White, 3, 40, 0.05, 228, 5.70, 0.58, 2, 26
,,,,,,,,,,Gruul, 4, 41, 0.05, 204, 4.98, 0.53, 1, 24
,,,,,,,,,,UBRG, 5, 34, 0.04, 204, 6.00, 0.61, 5, 23
Number of Colors,,,,,,,,,,Mono Red, 6, 34, 0.04, 190, 5.59, 0.59, 5, 20
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,Temur, 7, 29, 0.03, 141, 4.86, 0.53, 1, 19
Mono, 16, 90, 0.11, 485, 5.39, 0.56, 8, 53,,Grixis, 9, 41, 0.05, 170, 4.15, 0.46, 0, 18
Two, 41, 138, 0.17, 579, 4.20, 0.46, 2, 65,,Naya, 6, 29, 0.03, 147, 5.07, 0.53, 0, 17
Three, 72, 305, 0.37, 1488, 4.88, 0.52, 25, 154,,Jund, 6, 31, 0.04, 144, 4.65, 0.49, 0, 14
Four, 47, 202, 0.24, 937, 4.64, 0.49, 14, 98,,WUBR, 7, 18, 0.02, 117, 6.50, 0.65, 4, 14
Five, 14, 81, 0.10, 332, 4.10, 0.44, 2, 33,,Boros, 6, 22, 0.03, 90, 4.09, 0.45, 0, 10
,,,,,,,,,,Dimir, 8, 16, 0.02, 70, 4.38, 0.49, 0, 9
,,,,,,,,,,Sultai, 8, 17, 0.02, 76, 4.47, 0.50, 0, 9
,,,,,,,,,,Esper, 9, 27, 0.03, 103, 3.81, 0.41, 2, 7
,,,,,,,,,,Bant, 6, 10, 0.01, 58, 5.80, 0.60, 1, 6
,,,,,,,,,,Abzan, 8, 26, 0.03, 73, 2.81, 0.31, 0, 6
,,,,,,,,,,Rakdos, 3, 12, 0.01, 48, 4.00, 0.44, 0, 5
,,,,,,,,,,Golgari, 5, 11, 0.01, 42, 3.82, 0.42, 0, 5
,,,,,,,,,,Mardu, 5, 8, 0.01, 43, 5.38, 0.55, 0, 5
,,,,,,,,,,Mono Black, 3, 7, 0.01, 34, 4.86, 0.54, 1, 4
,,,,,,,,,,Selesnya, 4, 7, 0.01, 36, 5.14, 0.55, 1, 4
,,,,,,,,,,Mono Blue, 3, 7, 0.01, 30, 4.29, 0.45, 0, 3
,,,,,,,,,,Izzet, 2, 9, 0.01, 37, 4.11, 0.46, 0, 3
,,,,,,,,,,WBRG, 5, 10, 0.01, 36, 3.60, 0.39, 0, 3
,,,,,,,,,,Azorius, 3, 11, 0.01, 28, 2.55, 0.28, 0, 2
,,,,,,,,,,Orzhov, 5, 6, 0.01, 18, 3.00, 0.33, 0, 2
,,,,,,,,,,Simic, 1, 3, 0.00, 6, 2.00, 0.22, 0, 1
,,,,,,,,,,Mono Green, 1, 2, 0.00, 3, 1.50, 0.17, 0, 0
